"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.04.2019","204,30","204,90","205,00","202,12","18,65M","-0,48%"
"25.04.2019","205,28","206,83","207,76","205,12","18,54M","-0,91%"
"24.04.2019","207,16","207,36","208,48","207,05","17,54M","-0,15%"
"23.04.2019","207,48","204,43","207,75","203,90","23,32M","1,44%"
"22.04.2019","204,53","202,83","204,94","202,34","19,44M","0,33%"
"18.04.2019","203,86","203,12","204,15","202,52","24,20M","0,36%"
"17.04.2019","203,13","199,54","203,38","198,61","28,91M","1,95%"
"16.04.2019","199,25","199,46","201,37","198,56","25,70M","0,01%"
"15.04.2019","199,23","198,58","199,85","198,01","17,54M","0,18%"
"12.04.2019","198,87","199,20","200,14","196,21","27,76M","-0,04%"
"11.04.2019","198,95","200,85","201,00","198,44","20,90M","-0,83%"
"10.04.2019","200,62","198,68","200,74","198,18","21,70M","0,56%"
"09.04.2019","199,50","200,32","202,85","199,23","35,77M","-0,30%"
"08.04.2019","200,10","196,42","200,23","196,34","25,88M","1,57%"
"05.04.2019","197,00","196,45","197,10","195,93","18,53M","0,67%"
"04.04.2019","195,69","194,79","196,37","193,14","19,11M","0,17%"
"03.04.2019","195,35","193,25","196,50","193,15","23,27M","0,69%"
"02.04.2019","194,02","191,09","194,46","191,05","22,77M","1,45%"
"01.04.2019","191,24","191,64","191,68","188,38","27,86M","0,68%"
"29.03.2019","189,95","189,83","190,08","188,54","23,56M","0,65%"
"28.03.2019","188,72","188,95","189,56","187,53","20,78M","0,13%"
"27.03.2019","188,47","188,75","189,76","186,55","29,85M","0,90%"
"26.03.2019","186,79","191,66","192,88","184,58","49,80M","-1,03%"
"25.03.2019","188,74","191,51","191,98","186,60","43,85M","-1,21%"
"22.03.2019","191,05","195,34","197,69","190,78","42,41M","-2,07%"
"21.03.2019","195,09","190,02","196,33","189,81","51,03M","3,68%"
"20.03.2019","188,16","186,23","189,49","184,73","31,04M","0,87%"
"19.03.2019","186,53","188,35","188,99","185,92","31,65M","-0,79%"
"18.03.2019","188,02","185,80","188,39","185,79","26,22M","1,02%"
"15.03.2019","186,12","184,85","187,33","183,74","39,04M","1,30%"
"14.03.2019","183,73","183,90","184,10","182,56","23,58M","1,11%"
"13.03.2019","181,71","182,25","183,30","180,92","31,03M","0,44%"
"12.03.2019","180,91","180,00","182,67","179,37","32,47M","1,12%"
"11.03.2019","178,90","175,49","179,12","175,35","32,01M","3,46%"
"08.03.2019","172,91","170,32","173,07","169,50","24,00M","0,24%"
"07.03.2019","172,50","173,87","174,44","172,02","24,80M","-1,16%"
"06.03.2019","174,52","174,67","175,49","173,94","20,81M","-0,58%"
"05.03.2019","175,53","175,94","176,00","174,54","19,74M","-0,18%"
"04.03.2019","175,85","175,69","177,75","173,97","27,44M","0,50%"
"01.03.2019","174,97","174,28","175,15","172,89","25,89M","1,05%"
"28.02.2019","173,15","174,32","174,91","172,92","28,22M","-0,98%"
"27.02.2019","174,87","173,21","175,00","172,73","27,84M","0,31%"
"26.02.2019","174,33","173,71","175,30","173,17","17,07M","0,06%"
"25.02.2019","174,23","174,16","175,87","173,95","21,87M","0,73%"
"22.02.2019","172,97","171,58","173,00","171,38","18,91M","1,12%"
"21.02.2019","171,06","171,80","172,37","170,30","17,25M","-0,56%"
"20.02.2019","172,03","171,19","173,32","170,99","26,11M","0,64%"
"19.02.2019","170,93","169,71","171,44","169,49","18,97M","0,30%"
"15.02.2019","170,42","171,25","171,70","169,75","24,63M","-0,22%"
"14.02.2019","170,80","169,71","171,26","169,38","21,84M","0,36%"
"13.02.2019","170,18","171,39","172,48","169,92","22,49M","-0,42%"
"12.02.2019","170,89","170,10","171,00","169,70","22,28M","0,86%"
"11.02.2019","169,43","171,05","171,21","169,25","20,99M","-0,58%"
"08.02.2019","170,41","168,99","170,66","168,42","23,82M","-0,31%"
"07.02.2019","170,94","172,40","173,94","170,34","31,74M","-1,89%"
"06.02.2019","174,24","174,65","175,57","172,85","28,24M","0,03%"
"05.02.2019","174,18","172,86","175,08","172,35","36,10M","1,71%"
"04.02.2019","171,25","167,41","171,66","167,28","31,50M","2,84%"
"01.02.2019","166,52","166,96","168,98","165,93","32,67M","0,05%"
"31.01.2019","166,44","166,11","169,00","164,56","40,74M","0,72%"
"30.01.2019","165,25","163,25","166,15","160,23","61,11M","6,83%"
"29.01.2019","154,68","156,25","158,13","154,11","41,59M","-1,04%"
"28.01.2019","156,30","155,79","156,33","153,66","26,19M","-0,93%"
"25.01.2019","157,76","155,48","158,13","154,32","33,55M","3,31%"
"24.01.2019","152,70","154,11","154,48","151,74","25,44M","-0,79%"
"23.01.2019","153,92","154,15","155,14","151,70","23,13M","0,40%"
"22.01.2019","153,30","156,41","156,73","152,62","30,39M","-2,24%"
"18.01.2019","156,82","157,50","157,88","155,98","33,75M","0,62%"
"17.01.2019","155,86","154,20","157,66","153,26","29,82M","0,59%"
"16.01.2019","154,94","153,08","155,88","153,00","30,57M","1,22%"
"15.01.2019","153,07","150,27","153,39","150,05","28,71M","2,05%"
"14.01.2019","150,00","150,85","151,27","149,22","32,44M","-1,50%"
"11.01.2019","152,29","152,88","153,70","151,51","27,02M","-0,98%"
"10.01.2019","153,80","152,50","153,97","150,86","35,78M","0,32%"
"09.01.2019","153,31","151,29","154,53","149,63","45,10M","1,70%"
"08.01.2019","150,75","149,56","151,82","148,52","41,03M","1,91%"
"07.01.2019","147,93","148,70","148,83","145,90","54,78M","-0,22%"
"04.01.2019","148,26","144,53","148,55","143,80","58,61M","4,27%"
"03.01.2019","142,19","143,98","145,72","142,00","91,31M","-9,96%"
"02.01.2019","157,92","154,89","158,85","154,23","37,04M","0,11%"
"31.12.2018","157,74","158,53","159,36","156,48","35,00M","0,97%"
"28.12.2018","156,23","157,50","158,52","154,55","42,29M","0,05%"
"27.12.2018","156,15","155,84","156,77","150,07","53,12M","-0,65%"
"26.12.2018","157,17","148,30","157,23","146,72","58,58M","7,04%"
"24.12.2018","146,83","148,15","151,55","146,59","37,17M","-2,59%"
"21.12.2018","150,73","156,86","158,16","149,63","95,74M","-3,89%"
"20.12.2018","156,83","160,40","162,11","155,30","64,77M","-2,52%"
"19.12.2018","160,89","166,00","167,45","159,09","49,05M","-3,12%"
"18.12.2018","166,07","165,38","167,53","164,39","33,84M","1,30%"
"17.12.2018","163,94","165,45","168,35","162,73","44,29M","-0,93%"
"14.12.2018","165,48","169,00","169,08","165,28","40,70M","-3,20%"
"13.12.2018","170,95","170,49","172,57","169,55","31,90M","1,09%"
"12.12.2018","169,10","170,40","171,92","169,02","35,63M","0,28%"
"11.12.2018","168,63","171,66","171,79","167,00","47,28M","-0,57%"
"10.12.2018","169,60","165,00","170,09","163,33","62,03M","0,66%"
"07.12.2018","168,49","173,49","174,49","168,30","42,28M","-3,57%"
"06.12.2018","174,72","171,76","174,78","170,42","43,10M","-1,11%"
"04.12.2018","176,69","180,95","182,39","176,27","41,34M","-4,40%"
"03.12.2018","184,82","184,46","184,94","181,21","40,80M","3,49%"
"30.11.2018","178,58","180,29","180,33","177,03","39,53M","-0,54%"
"29.11.2018","179,55","182,66","182,80","177,70","41,77M","-0,77%"
"28.11.2018","180,94","176,73","181,29","174,93","46,06M","3,85%"
"27.11.2018","174,24","171,51","174,77","170,88","41,39M","-0,22%"
"26.11.2018","174,62","174,24","174,95","170,26","45,00M","1,35%"
"23.11.2018","172,29","174,94","176,59","172,10","23,62M","-2,54%"
"21.11.2018","176,78","179,73","180,27","176,55","31,12M","-0,11%"
"20.11.2018","176,98","178,37","181,47","175,51","67,83M","-4,78%"
"19.11.2018","185,86","190,00","190,70","184,99","41,92M","-3,96%"
"16.11.2018","193,53","190,50","194,97","189,46","36,93M","1,11%"
"15.11.2018","191,41","188,39","191,97","186,90","46,48M","2,47%"
"14.11.2018","186,80","193,90","194,48","185,93","60,80M","-2,82%"
"13.11.2018","192,23","191,63","197,18","191,45","46,88M","-1,00%"
"12.11.2018","194,17","199,00","199,85","193,79","51,14M","-5,04%"
"09.11.2018","204,47","205,55","206,01","202,25","34,37M","-1,93%"
"08.11.2018","208,49","209,98","210,12","206,75","25,36M","-0,70%"
"07.11.2018","209,95","205,97","210,06","204,13","33,42M","3,03%"
"06.11.2018","203,77","201,92","204,72","201,69","31,88M","1,08%"
